STREAM,TRANSECT,START,STOP,SEX,MIDPOINT,AREA COVERED
CAMP-E UP,1,1.7,2.3,F,2,0.6
CAMP-E UP,1,2,2.3,F,2.15,0.3
CLEAR,1,1.4,1.8,F,1.6,0.4
CLEAR,1,2.7,2.9,F,2.8,0.2
CLEAR,1,3.1,3.3,F,3.2,0.2
CLEAR,1,3.4,3.5,F,3.45,0.1
CLEAR,1,4.7,4.9,F,4.8,0.2
FORSYTH,1,0,0.1,F,0.05,0.1
FORSYTH,1,0.1,0.3,F,0.2,0.2
FORSYTH,1,0.3,0.6,F,0.45,0.3
FORSYTH,1,0.6,0.7,F,0.65,0.1
FORSYTH,1,0.8,1.1,F,0.95,0.3
FORSYTH,1,1.2,1.3,F,1.25,0.1
FORSYTH,1,1.4,1.6,F,1.5,0.2
FORSYTH,1,2,2.1,F,2.05,0.1
FORSYTH,1,14.5,15,F,14.75,0.5
FORSYTH,1,4,4.2,F,4.1,0.2
GEO-WEST,1,0,0.1,F,0.05,0.1
GEO-WEST,1,0.2,0.3,F,0.25,0.1
GEO-WEST,1,0.3,0.4,F,0.35,0.1
GEO-WEST,1,0.4,0.5,F,0.45,0.1
GEO-WEST,1,0.5,0.6,F,0.55,0.1
GEO-WEST,1,1.3,1.4,F,1.35,0.1
GEO-WEST,1,1.4,1.5,F,1.45,0.1
GEO-WEST,1,1.7,1.8,F,1.75,0.1
GEO-WEST,1,2.2,2.3,F,2.25,0.1
CAMP-E UP,1,0,0.2,M,0.1,0.2
CAMP-E UP,1,0.1,0.2,M,0.15,0.1
FORSYTH,1,2.7,3,M,2.85,0.3
FORSYTH,1,3.3,3.5,M,3.4,0.2
GEO-WEST,1,14.5,15,M,14.75,0.5
CAMP-E UP,2,0,0.1,F,0.05,0.1
CAMP-E UP,2,0,0.3,F,0.15,0.3
CAMP-E UP,2,0.2,0.5,F,0.35,0.3
CAMP-E UP,2,0.4,0.6,F,0.5,0.2
CAMP-E UP,2,0.6,0.8,F,0.7,0.2
CAMP-E UP,2,0.8,0.9,F,0.85,0.1
CAMP-E UP,2,1.1,1.6,F,1.35,0.5
CAMP-E UP,2,2.7,3,F,2.85,0.3
CAMP-E UP,2,3.1,3.4,F,3.25,0.3
CAMP-E UP,2,13,15,F,14,2
FORSYTH,2,0.5,0.9,F,0.7,0.4
FORSYTH,2,0.4,1.8,F,1.1,1.4
FORSYTH,2,1.3,1.5,F,1.4,0.2
FORSYTH,2,3.1,3.6,F,3.35,0.5
FORSYTH,2,4.4,4.5,F,4.45,0.1
FORSYTH,2,4.8,4.9,F,4.85,0.1
FORSYTH,2,5.1,5.4,F,5.25,0.3
GEO-WEST,2,0,0.1,F,0.05,0.1
GEO-WEST,2,0.7,0.8,F,0.75,0.1
CAMP-E UP,2,7.2,7.5,M,7.35,0.3
CLEAR,2,6.6,7,M,6.8,0.4
FORSYTH,2,0,0.5,M,0.25,0.5
GEO-WEST,2,0,0.1,M,0.05,0.1
GEO-WEST,2,0.3,0.4,M,0.35,0.1
GEO-WEST,2,1.2,1.3,M,1.25,0.1
CAMP-E UP,3,0.2,0.3,F,0.25,0.1
CAMP-E UP,3,0.3,0.5,F,0.4,0.2
CAMP-E UP,3,0.4,0.9,F,0.65,0.5
CAMP-E UP,3,1.3,1.7,F,1.5,0.4
CAMP-E UP,3,2.3,2.7,F,2.5,0.4
CAMP-E UP,3,2.6,2.7,F,2.65,0.1
CAMP-E UP,3,8.3,10,F,9.15,1.7
CAMP-E UP,3,10.5,11.5,F,11,1
CAMP-E UP,3,14.5,15,F,14.75,0.5
CLEAR,3,2.5,2.7,F,2.6,0.2
FORSYTH,3,0,0.3,F,0.15,0.3
FORSYTH,3,0,0.8,F,0.4,0.8
FORSYTH,3,0.4,0.5,F,0.45,0.1
FORSYTH,3,0.4,0.5,F,0.45,0.1
FORSYTH,3,0.8,1,F,0.9,0.2
FORSYTH,3,0.8,2.2,F,1.5,1.4
FORSYTH,3,1.2,1.7,F,1.45,0.5
GEO-WEST,3,0,0.1,F,0.05,0.1
GEO-WEST,3,0.4,0.5,F,0.45,0.1
GEO-WEST,3,0.4,1.4,F,0.9,1
GEO-WEST,3,2.2,2.3,F,2.25,0.1
GEO-WEST,3,8.5,9,F,8.75,0.5
GEO-WEST,3,13.5,14,F,13.75,0.5
CAMP-E UP,3,5.5,6.3,M,5.9,0.8
CAMP-E UP,3,9.5,10.5,M,10,1
CAMP-E UP,3,12,12.4,M,12.2,0.4
CAMP-E UP,3,12.5,13,M,12.75,0.5
CAMP-E UP,3,12.5,13.5,M,13,1
CAMP-E UP,3,13.5,14,M,13.75,0.5
CLEAR,3,1.6,1.7,M,1.65,0.1
CLEAR,3,3.5,3.6,M,3.55,0.1
CLEAR,3,3.7,3.8,M,3.75,0.1
CLEAR,3,4,4.1,M,4.05,0.1
FORSYTH,3,0.7,1,M,0.85,0.3
FORSYTH,3,1,1.9,M,1.45,0.9
FORSYTH,3,1.9,2.8,M,2.35,0.9
FORSYTH,3,2.2,2.5,M,2.35,0.3
FORSYTH,3,2.6,4.5,M,3.55,1.9
GEO-WEST,3,1.1,1.3,M,1.2,0.2
FORSYTH,4,0,1,F,0.5,1
FORSYTH,4,1.1,2.3,F,1.7,1.2
FORSYTH,4,0.7,2.4,F,1.55,1.7
FORSYTH,4,2.7,3.3,F,3,0.6
FORSYTH,4,3.8,4,F,3.9,0.2
FORSYTH,4,3.6,4,F,3.8,0.4
FORSYTH,4,4.5,5.6,F,5.05,1.1
FORSYTH,4,0,1,M,0.5,1
FORSYTH,4,2.3,2.6,M,2.45,0.3
FORSYTH,4,4.3,4.6,M,4.45,0.3
FORSYTH,5,0,0.5,F,0.25,0.5
FORSYTH,5,0,0.3,F,0.15,0.3
FORSYTH,5,0.9,1.2,F,1.05,0.3
FORSYTH,5,3.1,3.6,F,3.35,0.5
FORSYTH,5,5.2,5.7,F,5.45,0.5
FORSYTH,5,6.9,7.1,M,7,0.2
FORSYTH,5,8.1,8.5,M,8.3,0.4
FORSYTH,6,0.5,1.5,F,1,1
FORSYTH,6,0.8,1,F,0.9,0.2
FORSYTH,6,1.2,1.7,F,1.45,0.5
FORSYTH,6,1.1,2,F,1.55,0.9
FORSYTH,6,2,2.4,F,2.2,0.4
FORSYTH,6,3.7,4.7,F,4.2,1
FORSYTH,6,0,0.4,M,0.2,0.4
FORSYTH,6,0.4,0.8,M,0.6,0.4
FORSYTH,6,0.7,0.8,M,0.75,0.1
FORSYTH,6,3.2,4.2,M,3.7,1
FORSYTH,7,0,0.1,F,0.05,0.1
FORSYTH,7,1.1,1.9,F,1.5,0.8
