12,samples,,,,,,,,
9,variables,,,,,,,,
,C,C,Q,Q,Q,Q,Q,Q,Q
ID tag,Sex,Harvest,Tannins,Mass loss,Abundance,S,E,H,D`
MSH1514,1,1,74.41818182,0.3924,334,6,0.91,1.63,0.778
MSH4128,2,1,38.05454545,0.5126,224,7,0.964,1.876,0.8361
MSH4397,1,1,101.0545455,0.4561,273,10,0.883,2.033,0.8414
MSH4888,2,1,69.41818182,0.5394,300,6,0.89,1.595,0.779
MSH4940,2,1,44.23636364,0.4798,303,9,0.861,1.892,0.8261
MSH6015,1,1,93.85454545,0.3915,138,11,0.808,1.937,0.8282
MSH3569,1,2,48.23636364,1.3383,651,11,0.955,2.291,0.8924
MSH3755,2,2,69.41818182,1.219,696,11,0.961,2.304,0.8932
MSH4725,1,2,135.0545455,1.334,737,8,0.976,2.03,0.8635
MSH4813,2,2,38.05454545,1.7121,793,11,0.972,2.33,0.8975
MSH7381,2,2,44.23636364,1.4566,857,8,0.9,1.872,0.821
MSH7896,1,2,110.5090909,1.2673,631,9,0.925,2.033,0.8535
